file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
television-60085763,0.0,0.888,corpus,-47.68802119908708,-47.35186555650499,1.7420186853675355,20.708960886207937
decision-8501a34f,0.0,0.792,corpus,-54.266440862341774,-55.08694076538086,1.7420178579529775,17.90795010917324
box-c7d8a6d7,0.0,0.816,corpus,-48.5263671875,-47.634178161621094,1.7213558286747508,19.55472878877136
black-466bc8ce,0.0,0.6,corpus,-52.449544270833336,-53.163734436035156,1.7213558286747508,20.324362796464747
fox-ff0f0a8b,0.0,0.864,corpus,-49.3566156431686,-49.13149166107178,1.7213558286747508,17.207133069880218
look-at-the-good-cook-9f2e6986,0.0,1.224,corpus,-56.083836289702866,-56.844652029184196,1.721355300125187,21.217678854887435
like-c4eb7d7f,0.0,0.6,corpus,-49.9863525390625,-48.714341481526695,1.721355300125187,22.405711988158075
sometimes-297f31f0,0.0,1.008,corpus,-46.43830735612624,-48.58652305603027,1.719497057405729,18.173962699144234
i-like-the-night-sky-05846f13,0.0,1.344,corpus,-49.126432048740675,-50.311930338541664,1.7189686515327331,21.220891019906396
try-3240aa0f,0.0,0.624,corpus,-50.70727932837702,-51.372798919677734,1.7189684804330383,19.13143001206965
put-the-teddy-bear-on-the-chair-7f10fd7e,0.0,1.752,corpus,-49.17890066964286,-49.581606011641654,1.7099122147873353,19.317119809290922
no-fd128635,0.0,0.6,corpus,-50.52867838541667,-49.15939903259277,1.7084764152354792,21.681745898303923
go-1ec558a6,0.0,0.6,corpus,-50.4630126953125,-51.1136589050293,1.7084764152354792,19.394709024412272
know-97accafb,0.0,0.6,corpus,-50.082767740885416,-49.11943817138672,1.7084764152354792,22.073257250114306
these-green-trees-are-easy-to-see-4ca952db,0.0,2.232,corpus,-53.578593574831835,-54.3334321975708,1.7027608711007844,14.983606572915694
we-talk-about-the-sofa-again-6664a2fe,0.0,1.776,corpus,-52.85902387640449,-55.427874514931126,1.6963691971176593,19.926357528316178
i-never-know-the-number-now-7e418d4d,0.0,1.608,corpus,-47.012304080939444,-49.27388119697571,1.6885961634743367,22.614014945396658
girls-work-with-birds-in-my-town-485dc55e,0.0,1.992,corpus,-51.77949807631909,-54.58072280883789,1.6885961634743367,20.155171878361116
problem-a5a0d15d,0.0,0.648,corpus,-49.89775390625,-51.841173444475444,1.6756419413792598,20.738717914631952
the-manager-does-projects-in-his-new-job-e325e244,0.0,2.4,corpus,-53.39940185546875,-54.33927443931843,1.6474676364189034,20.166470815647664
job-2eda8ad1,0.0,0.624,corpus,-49.933609501008064,-52.56082280476888,1.6474658663508088,20.590420390123228
tell-the-little-girl-to-listen-06126a95,0.0,1.704,corpus,-50.352068014705885,-50.18330001831055,1.6387161935451415,20.2080823389976
treasure-66435385,0.0,0.72,corpus,-49.37543063693576,-49.74297409057617,1.6201843698393208,19.8326855813529
now-c9bc849a,0.0,0.6,corpus,-43.555013020833336,-44.1445426940918,1.6169648307148825,22.821802784275384
can-i-go-to-school-in-the-car-b6b7263c,0.0,1.584,corpus,-55.32001582278481,-56.03447100990697,1.6120838242340587,21.520524176008117
fast-0afde566,0.0,0.768,corpus,-48.86172445718344,-49.769394874572754,1.6027114341776005,18.67564236944809
i-have-a-very-heavy-van-64dfe033,0.0,1.536,corpus,-48.655802937297075,-48.662848711013794,1.6027114341776005,20.658162154085627
child-0e93069c,0.0,0.72,corpus,-50.44193861219618,-49.95183849334717,1.6022393099363021,21.643065435015306
music-3a01be17,0.0,0.6,corpus,-52.44095052083333,-54.437788009643555,1.5970391988114747,22.463633918263476
we-play-a-good-game-again-bdc22874,0.0,1.56,corpus,-49.13227726862981,-51.15768885612488,1.5844159103989957,22.14036246555348
sun-22fa6121,0.0,0.672,corpus,-47.83116400419776,-46.70999018351237,1.5844146613743035,17.882338549238654
rain-fbec17cb,0.0,0.648,corpus,-46.82626577524039,-46.28639475504557,1.5844146613743035,20.56865113291392
i-see-water-from-the-window-5b9c813a,0.0,1.728,corpus,-47.7221482117052,-46.81093173556857,1.575134229790658,19.167769448273347
bird-cd92815b,0.0,0.624,corpus,-53.99613312752016,-55.36436462402344,1.5713483347046042,21.692676602365935
young-ee97d2f2,0.0,0.648,corpus,-50.26487755408654,-49.131203969319664,1.5502895887419452,17.544071291480797
the-baby-and-his-brother-read-a-brown-book-7d778223,0.0,2.568,corpus,-50.87918363934825,-49.958678245544434,1.5440047223578302,22.92380470474917
walk-df06b147,0.0,0.624,corpus,-51.917133946572584,-51.30025736490885,1.5440041938082663,21.874550053773902
talk-e55e91b2,0.0,0.648,corpus,-49.05953650841346,-48.570194244384766,1.5440036652587024,20.6537182908288
the-child-sits-on-the-chair-with-the-teacher-f220fa98,0.0,2.232,corpus,-52.21688883828475,-52.20686355003944,1.5376714094125823,21.101362139178757
little-45022297,0.0,0.576,corpus,-51.440290779903016,-50.39330902099609,1.5254488978561498,22.70974660256469
fall-c5288822,0.0,0.648,corpus,-48.88490835336538,-48.56512324015299,1.5254488978561498,18.312994829508238
pencil-d2fc5124,0.0,0.696,corpus,-48.056386021205356,-47.38237063090006,1.5254488978561498,21.743479372148972
small-dogs-walk-and-play-with-a-ball-c70b51fe,0.0,2.448,corpus,-50.15129544005102,-51.852046966552734,1.5254456074309304,16.60961597834332
name-6ae99955,0.0,0.648,corpus,-43.90357947716346,-42.04189682006836,1.5071985226460336,21.575932608558205
